"Source:","/home/andrew/hardware/KitchenTimer/KitchenTimer.kicad_sch"
"Date:","Wed 17 Apr 2024 09:52:45 BST"
"Tool:","Eeschema 7.0.11-7.0.11~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","15"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Dielectric","Fit","Fit ","Manufacturer","PartNo","Voltage","budget","dis_rs","or equivalent"
"1","1","BT1","Battery_Cell",":Battery_Cell_1","project_footprints:Trupower-CR2032-PCB-mount","~","","","","","","","","","",""
"2","1","BZ1","Buzzer","Device:Buzzer","project_footprints:Buzzer_Murata_PKLCS1212E4001-R1","https://docs.rs-online.com/1185/0900766b80ef2b98.pdf","","","","Y","Murata ","PKLCS1212E2000","","0.76","167-3964 ","N"
"3","1","C1","100n","base-rescue:C-Device","Capacitor_SMD:C_0603_1608Metric","","","MLCC","Y","Y","Kemet","C0603C104K4RACTU","50V","0.05","173-2202","Y"
"4","1","C2","10u","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I","","","","","","","","","","",""
"5","1","D1","LED_Filled","Device:LED_Filled","LED_THT:LED_D3.0mm","~","","","","","","","","","",""
"6","2","H1, H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.2mm_M2","~","","","","","","","","","",""
"7","2","H3, H4","MountingHole","Mechanical:MountingHole","project_footprints:LocationHole_1mm","~","","","","","","","","","",""
"8","1","J1","Conn_01x05","Connector_Generic:Conn_01x05","Connector_JST:JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical","~","","","","","","","","","",""
"9","1","JP1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","","","","","","",""
"10","1","R1","4K7","base-rescue:R-Device","Resistor_SMD:R_0603_1608Metric","","","","Y","Y","TE Connectivity","CRG0603F4K7","","0.003","213-2367","Y"
"11","2","SW1, SW2","SW_Push",":SW_Push_1","project_footprints:SW_TS06-667-50-BK-100-G-SMT-TR","~","","","","","","","","","",""
"12","1","U1","STM32G041J6Mx","MCU_ST_STM32G0:STM32G041J6Mx","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.st.com/resource/en/datasheet/stm32g041j6.pdf","","","","","","","","","",""
